symbol,address,type,gauges,fees,bribes,algebra_pool
stkBNB/THE,0x2afed1ca1bc414e123b1c4e30e8f6fc513c8ee72,Volatile,0xa1c4EC3634c7E4a965bdC9aC361E6C53D2415391,0x4e768B93Df94269700b740e5c8D90d15AbeA4c4A,0x4e74C1fF50eeE346c88f0BE846E2288c9D3C3539,0
USDT/DUSD,0x1d863277b38be56347c4ebd9b6120052c27d88ab,CL_Stable,0x8Bb5D9AfE97b59f29d5B2111D5DaF73912DEef03,0x51f4ba581057cA5289d07ba9B237D3cF4F7E0339,0x565dF549F172B51a979d197E6827d882FD838F16,0
DAI/USDT,0xbabef76f5fa36a37236e0467bee30bacbc371aa6,Stable,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0
BTCB/stBTC,0xa63ffefb4f93a68fbe1339b87f72aa6f5ea8e0a4,Stable,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0
USDT/FLOKI,0x537672472bec1246ee9419e1716e221c9d0c04f6,Volatile,0x328cC2Fb8e3e69E8DD2BC67488f886820F1D5752,0x064441A3fDEAA279bD5312c7f8398a12483d9869,0xf022E496699953486A7bCab0639C57F328740ED4,0
MORE/arcUSD,0x3bfc63eb779811f59d41045394f612da3f450678,Stable,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0
BNBx/USDT,0x88e1ce1e3e0171c83150844bb2f0bd2266802da2,Narrow,0xcF37Bddd36fbf113F60f7aB7fc15997819007b94,0xA9d48669D0F28aEf9491AE0fD1ebD59cDc1a4455,0xb98fEa13B785e559300aBb2B0a091E7D0d8ac9d2,0
SolvBTC/BTCB,0x079092a9003a80782e277cc76cca05576563bea8,Correlated,0xd0f2b1C83544426d8De428736C098c63F79d36a3,0xADE474614f521C5dCdBF5E988D3C96d5826eC2Cf,0x96BFd1829b0ddc061bE1A747F16854156ad28404,0
BNB/ANKR,0xe934278276c0274aac95dadb9783f02a27c351ff,Volatile,0x460dfe291bA48E5A498DA29025fFdE46F776aaFb,0xe9ce7B8D57c82aEc1E49D59Fa4bD3A435C9e6CA6,0x4698A5534AD6731D201DC3fdc9E8fc69f03a5C77,0
OOE/BUSD,0x15538fc89447927cfef14ff2e5f7d870fee98330,Volatile,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,0
